name,association,description,latitude,longitude,2022,2023,2024,2025,2026
01 - Favre/Sommeiller,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9024651,6.1265996,0,0,0,1,1
02 - Avenue de Genève Nord,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,Devant Mc Do au croisement avec la piste cyclable qui traverse devant Carrefour,45.9258584,6.1240062,0,0,0,1,1
03 - Marquisats,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.8930686,6.1366181,0,0,0,1,1
04 - Double RP Avenue de Cran,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.906363,6.1146729,0,0,0,1,1
05 - RP de Vignières,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,"le 1er compteur compte les entrées provenant de l'avenue des Carrés et de l'esplanade UNIQUEMENT LES ENTREES SUR LE ROND-POINT, PAS LES SORTIES !)",45.9148425,6.1464756,0,0,0,1,1
05 bis - RP de Vignières,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,"Le 2nd compteur compte les entrées provenant de l'allée Jean Monnet, des rues Jean Mermoz, du Pré de la Salle et du capitaine Baud (UNIQUEMENT LES ENTRÉES SUR LE RD POINT, PAS LES SORTIES !)",45.9156302,6.1473066,0,0,0,1,1
06 - Autopont avenue du Rhône,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,Sous l'autopont au croisement des pistes cyclables,45.9027154,6.1112241,0,0,0,1,1
07 - Souterrain Rocade/Gambetta,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,Celui qui passe sous la voie ferrée,45.9118021,6.1249448,0,0,0,1,1
08 - RP Maréchal Juin,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,Grand Frais,45.8899134,6.1145899,0,0,0,1,1
09 - Pont de Tasset,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9091131,6.0968032,0,0,0,1,1
10 - RP de la Croisée,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,En contrebas de Cocktail Scandinave,45.8958532,6.1114979,0,0,0,1,1
11 - Viaduc de Brassilly,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9057609,6.0931413,0,0,0,1,1
12 - Petit port,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9055566,6.158369,0,0,0,1,1
13 - Creusettes (Poisy),Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9197023,6.0832552,0,0,0,1,1
14 - Auriol/Périmètre,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9244246,6.1272856,0,0,0,1,1
15 - Parc des Glaisins,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9245778,6.1582181,0,0,0,1,1
16 - Metz-Tessy-Epagny D908B,Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,45.9350838,6.1107991,0,0,0,1,1
Abondance Collège Sainte Croix des Neiges,Association Mobilité Douce Chablais,,46.2779369,6.7206891,0,0,0,0,1
Allinges / Thonon - Rond point des Fleysets,Association Mobilité Douce Chablais,,46.352682,6.477102,1,1,1,1,1
Amancy Vozerier,Calque sans titre,,46.0694567,6.3346961,1,0,0,0,0
Ambilly Jura (voie verte),2022-2023: Calque sans titre | 2024-2026: EVAV,,46.1944615,6.224119,1,1,1,1,1
Annemasse Agglo,2022-2023: Calque sans titre | 2024-2026: EVAV,EVAV 2 pers,46.1959787,6.2312626,1,1,1,1,1
Annemasse Clos Fleury,2022-2023: Calque sans titre | 2024-2026: EVAV,EVAV 2 pers,46.192746,6.2317462,1,1,1,1,1
Anthy / Thonon - Pont de Marclaz,Association Mobilité Douce Chablais,Pont du Pamphiot,46.355287,6.447093,1,1,1,1,1
"Arenthon, La Papeterie",2022: Calque sans titre | 2023: Pays Rochois | 2024-2025: Pays Rochois NATENV,,46.0830867,6.3649998,1,1,1,1,0
ARTHAZ_Giratoire lavomatique,AERE,,46.1622162,6.2761617,0,1,1,1,1
Aubonne Collège St François,Association Mobilité Douce Chablais,,46.3006988,6.2857705,0,0,0,0,1
Avenue Wendt,PRO VELO Genève,,46.2119399,6.1276753,0,0,0,0,1
2024: Ayze Piste cyclable Bonneville Marignier | 2025-2026: Ayze Piste cyclable Bonneville après piscine,Pays Rochois NATENV,,46.0782195,6.4264838,0,0,1,1,1
BD Georges Favon,PRO VELO Genève,,46.2023865,6.1401964,0,1,1,1,1
Bellevaux. Collège Notre-Dame,Association Mobilité Douce Chablais,Collège Notre-Dame,46.2578233,6.53163,0,0,0,0,1
Bonneville Pont Europe,Pays Rochois NATENV,,46.0759431,6.4062555,0,0,0,0,1
"2022-2024: Bonneville, Prison | 2025-2026: Bonneville, Prison Franchissement Borne Tucinges",2022: Calque sans titre | 2023: Pays Rochois | 2024-2026: Pays Rochois NATENV,,46.0792916,6.4000244,1,1,1,1,1
Bons en Chablais - Gare,Association Mobilité Douce Chablais,,46.26919,6.366401,1,1,1,1,1
Bons en Chablais Collège François Mugnier,Association Mobilité Douce Chablais,Collège François Mugnier,46.2654769,6.3626506,0,0,0,0,1
Bons en Chablais Intersection av du Léman av des Voirons,Association Mobilité Douce Chablais,,46.2649712,6.3707562,0,0,0,0,1
2022-2024: Challex | 2025-2026: Challex->LaPlaine,2022-2023: Calque sans titre | 2024-2026: APICY,,46.1772767,5.9911789,1,1,1,1,1
chemin de la Chécande,Association du Préau,,46.1426968,6.1196991,1,1,1,1,1
Chens sur Léman Intersection D20 D25,Association Mobilité Douce Chablais,,46.3158905,6.266858,0,0,0,0,1
Chloro Arpigny Fillinges,Pays Rochois NATENV,"46.151740, 6.341957",46.1516211,6.3421287,0,0,0,0,1
Chloro Proxivélo Pont Fillinges,Pays Rochois NATENV,"46.163215, 6.351672",46.1630961,6.351672,0,0,0,0,1
Chloro Pt Savoyard Fillinges,Pays Rochois NATENV,"46.16185753320907, 6.352769890251818",46.1618575,6.3527699,0,0,0,0,1
Chloro Soly Bonne,Pays Rochois NATENV,"46.161829, 6.316651",46.161829,6.316651,0,0,0,0,1
2022-2024: Voie verte Divonne | 2025-2026: Crassier Voie verte,2022-2023: Calque sans titre | 2024-2026: APICY,ATE Vaud,46.3726167,6.1648493,1,1,1,1,1
Croix-de-Rozon,2022: Calque sans titre | 2023-2026: Salève Vivant,,46.1436146,6.1381708,1,1,1,1,1
Divonne->Chavanne,2022-2023: Calque sans titre | 2024-2026: APICY,,46.3459462,6.1519184,1,1,1,1,1
Douane Chens-Hermance,2024: Cycla sur Léman (Chens) | 2025-2026: Cycle sur Léman (Chens) + Roule & Co + Vélopito + UPCluses,,46.3029176,6.2479383,0,0,1,1,1
